LHS	RHS	LHS_supp_count	RULE_supp_count	LHS_supp	RULE_supp	RULE_conf	links
02-Apart.	NO	542	381	0.21313409359024774	0.14982304364923318	0.7029520295202952	
03-Vechicl.=1	NO	323	231	0.12701533621706645	0.09083759339362957	0.7151702786377709	
01-H. not owned,02-Apart.	NO	457	326	0.17970900511207236	0.12819504522217853	0.7133479212253829	
01-H. not owned,08-Husb.:West Europe	NO	332	244	0.13055446323240266	0.09594966574911522	0.7349397590361446	
01-H. not owned,09-Wife:West Europe	NO	307	224	0.12072355485646874	0.08808493904836807	0.7296416938110749	
01-H. not owned,10-Husb.work.class=PrivateWorker	NO	599	421	0.23554856468737712	0.1655524970507275	0.7028380634390651	
01-H. not owned,11-Wife.work.class=PrivateWorker	NO	556	399	0.21863940228077075	0.15690129767990563	0.7176258992805755	
02-Apart.,10-Husb.work.class=PrivateWorker	NO	413	297	0.16240660637042864	0.11679119150609517	0.7191283292978208	
02-Apart.,11-Wife.work.class=PrivateWorker	NO	383	277	0.1506095163193079	0.10892646480534801	0.7232375979112271	
01-H. not owned,02-Apart.,10-Husb.work.class=PrivateWorker	NO	350	255	0.1376327172630751	0.10027526543452615	0.7285714285714285	
01-H. not owned,02-Apart.,11-Wife.work.class=PrivateWorker	NO	319	233	0.12544239087691703	0.09162406606370428	0.7304075235109718	
01-H. not owned,03-Vechicl.=2,11-Wife.work.class=PrivateWorker	NO	339	238	0.13330711757766417	0.09359024773889107	0.7020648967551623	
01-H. not owned,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	438	317	0.17223751474636256	0.12465591820684231	0.723744292237443	
02-Apart.,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	303	227	0.11915060951631931	0.08926464805348014	0.7491749174917491	

