LHS	RHS	LHS_supp_count	RULE_supp_count	LHS_supp	RULE_supp	RULE_conf	links
02-Apart.,06-Husb.:associate	NO	265	218	0.12595057034220533	0.10361216730038023	0.8226415094339623	
01-H. not owned,02-Apart.,06-Husb.:associate	NO	246	201	0.11692015209125475	0.09553231939163498	0.8170731707317073	
06-Husb.:associate,07-Wife:associate	NO	268	228	0.12737642585551331	0.10836501901140684	0.8507462686567164	
03-Vechicl.=2,06-Husb.:associate	NO	292	233	0.13878326996197718	0.11074144486692016	0.797945205479452	
06-Husb.:associate,11-Wife.work.class=PrivateWorker	NO	328	254	0.155893536121673	0.12072243346007605	0.774390243902439	
06-Husb.:associate,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	267	212	0.12690114068441063	0.10076045627376426	0.7940074906367042	
01-H. not owned,06-Husb.:associate	NO	331	261	0.157319391634981	0.12404942965779468	0.7885196374622356	
01-H. not owned,06-Husb.:associate,10-Husb.work.class=PrivateWorker	NO	262	210	0.12452471482889733	0.09980988593155894	0.8015267175572519	
06-Husb.:associate,10-Husb.work.class=PrivateWorker	NO	347	276	0.16492395437262358	0.1311787072243346	0.7953890489913544	
06-Husb.:associate	NO	447	347	0.21245247148288973	0.16492395437262358	0.7762863534675615	
07-Wife:associate,09-Wife:West Europe	NO	244	209	0.11596958174904944	0.09933460076045628	0.8565573770491803	
07-Wife:associate,08-Husb.:West Europe	NO	257	219	0.12214828897338403	0.10408745247148289	0.8521400778210116	
02-Apart.,07-Wife:associate,10-Husb.work.class=PrivateWorker	NO	247	212	0.11739543726235742	0.10076045627376426	0.8582995951417004	
02-Apart.,07-Wife:associate	NO	309	264	0.14686311787072243	0.12547528517110265	0.8543689320388349	
01-H. not owned,02-Apart.,07-Wife:associate	NO	284	244	0.13498098859315588	0.11596958174904944	0.8591549295774648	
01-H. not owned,07-Wife:associate,11-Wife.work.class=PrivateWorker	NO	238	210	0.11311787072243346	0.09980988593155894	0.8823529411764706	
07-Wife:associate,10-Husb.work.class=PrivateWorker,11-Wife.work.class=PrivateWorker	NO	269	227	0.12785171102661597	0.10788973384030419	0.8438661710037175	
07-Wife:associate,11-Wife.work.class=PrivateWorker	NO	330	276	0.15684410646387834	0.1311787072243346	0.8363636363636363	
01-H. not owned,03-Vechicl.=2,07-Wife:associate	NO	226	200	0.10741444866920152	0.09505703422053231	0.8849557522123894	
03-Vechicl.=2,07-Wife:associate,10-Husb.work.class=PrivateWorker	NO	261	225	0.12404942965779468	0.10693916349809886	0.8620689655172413	
03-Vechicl.=2,07-Wife:associate	NO	333	283	0.15826996197718632	0.13450570342205323	0.8498498498498499	
01-H. not owned,07-Wife:associate,10-Husb.work.class=PrivateWorker	NO	294	253	0.1397338403041825	0.12024714828897339	0.8605442176870748	
01-H. not owned,07-Wife:associate	NO	370	316	0.1758555133079848	0.15019011406844107	0.8540540540540541	
07-Wife:associate,10-Husb.work.class=PrivateWorker	NO	400	336	0.19011406844106463	0.1596958174904943	0.84	
07-Wife:associate	NO	507	421	0.24096958174904942	0.20009505703422054	0.8303747534516766	
02-Apart.,09-Wife:West Europe	NO	334	245	0.15874524714828897	0.11644486692015209	0.7335329341317365	
01-H. not owned,02-Apart.,09-Wife:West Europe	NO	317	232	0.15066539923954372	0.11026615969581749	0.7318611987381703	
03-Vechicl.=2,08-Husb.:West Europe,09-Wife:West Europe	NO	378	266	0.1796577946768061	0.12642585551330798	0.7037037037037037	
03-Vechicl.=2,08-Husb.:West Europe,09-Wife:West Europe,10-Husb.work.class=PrivateWorker	NO	287	206	0.13640684410646386	0.0979087452471483	0.7177700348432056	
02-Apart.,08-Husb.:West Europe	NO	355	267	0.16872623574144488	0.12690114068441063	0.752112676056338	
02-Apart.,08-Husb.:West Europe,11-Wife.work.class=PrivateWorker	NO	279	205	0.1326045627376426	0.09743346007604563	0.7347670250896058	
02-Apart.,08-Husb.:West Europe,10-Husb.work.class=PrivateWorker	NO	281	212	0.1335551330798479	0.10076045627376426	0.7544483985765125	
01-H. not owned,02-Apart.,08-Husb.:West Europe	NO	332	249	0.15779467680608364	0.11834600760456274	0.75	
01-H. not owned,03-Vechicl.=2,08-Husb.:West Europe	NO	362	259	0.1720532319391635	0.12309885931558935	0.7154696132596685	
01-H. not owned,03-Vechicl.=2,08-Husb.:West Europe,11-Wife.work.class=PrivateWorker	NO	282	202	0.13403041825095058	0.09600760456273764	0.7163120567375887	
03-Vechicl.=2,08-Husb.:West Europe,10-Husb.work.class=PrivateWorker	NO	399	282	0.18963878326996197	0.13403041825095058	0.706766917293233	

