LHS	RHS	LHS_supp_count	RULE_supp_count	LHS_supp	RULE_supp	RULE_conf	links
08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	264	209	0.10381439244986236	0.08218639402280771	0.7916666666666666	
07-Wife:school	11-Wife.work.class=PrivateWorker	269	202	0.10578057412504915	0.0794337396775462	0.7509293680297398	
07-Wife:school	10-Husb.work.class=PrivateWorker	269	212	0.10578057412504915	0.08336610302791977	0.7881040892193308	
06-Husb.:school	11-Wife.work.class=PrivateWorker	299	223	0.11757766417616988	0.08769170271333071	0.745819397993311	
06-Husb.:school	10-Husb.work.class=PrivateWorker	299	234	0.11757766417616988	0.09201730239874165	0.782608695652174	
10-Husb.work.class=SelfEmployed	01-H. owned	304	216	0.11954384585135666	0.0849390483680692	0.7105263157894737	
10-Husb.work.class=SelfEmployed	02-Det. house	304	217	0.11954384585135666	0.08533228470310657	0.7138157894736842	
07-Wife:bachelor	03-Vechicl.=2	316	226	0.12426268187180496	0.08887141171844279	0.7151898734177216	
07-Wife:bachelor	01-H. owned	316	226	0.12426268187180496	0.08887141171844279	0.7151898734177216	
07-Wife:bachelor	10-Husb.work.class=PrivateWorker	316	226	0.12426268187180496	0.08887141171844279	0.7151898734177216	
12-Husb.Income=08	11-Wife.work.class=PrivateWorker	321	232	0.12622886354699175	0.09123082972866693	0.7227414330218068	
12-Husb.Income=08	03-Vechicl.=2	321	240	0.12622886354699175	0.09437672040896579	0.7476635514018691	
12-Husb.Income=08	02-Det. house	321	247	0.12622886354699175	0.0971293747542273	0.7694704049844237	
10-Husb.work.class=PrivateWorker,12-Husb.Income=08	02-Det. house	258	202	0.10145497443963822	0.0794337396775462	0.7829457364341085	
02-Det. house,12-Husb.Income=08	10-Husb.work.class=PrivateWorker	247	202	0.0971293747542273	0.0794337396775462	0.8178137651821862	
02-Det. house,12-Husb.Income=08	01-H. owned	247	225	0.0971293747542273	0.08847817538340542	0.9109311740890689	
01-H. owned,12-Husb.Income=08	02-Det. house	262	225	0.10302791977978765	0.08847817538340542	0.8587786259541985	
12-Husb.Income=08	10-Husb.work.class=PrivateWorker	321	258	0.12622886354699175	0.10145497443963822	0.8037383177570093	
10-Husb.work.class=PrivateWorker,12-Husb.Income=08	01-H. owned	258	209	0.10145497443963822	0.08218639402280771	0.810077519379845	
01-H. owned,12-Husb.Income=08	10-Husb.work.class=PrivateWorker	262	209	0.10302791977978765	0.08218639402280771	0.7977099236641222	
12-Husb.Income=08	01-H. owned	321	262	0.12622886354699175	0.10302791977978765	0.8161993769470405	
03-Vechicl.=1	NO	323	231	0.12701533621706645	0.09083759339362957	0.7151702786377709	
03-Vechicl.=1	10-Husb.work.class=PrivateWorker	323	249	0.12701533621706645	0.09791584742430201	0.7708978328173375	
06-Husb.:bachelor	11-Wife.work.class=PrivateWorker	326	229	0.12819504522217853	0.09005112072355485	0.7024539877300614	
06-Husb.:bachelor	03-Vechicl.=2	326	236	0.12819504522217853	0.09280377506881636	0.7239263803680982	
06-Husb.:bachelor	01-H. owned	326	237	0.12819504522217853	0.09319701140385371	0.7269938650306749	
06-Husb.:bachelor	10-Husb.work.class=PrivateWorker	326	251	0.12819504522217853	0.09870232009437672	0.7699386503067485	
10-Husb.work.class=GovernmWorker	01-H. owned	357	257	0.1403853716083366	0.10106173810460087	0.7198879551820728	
02-Det. house,10-Husb.work.class=GovernmWorker	01-H. owned	259	226	0.10184821077467558	0.08887141171844279	0.8725868725868726	
01-H. owned,10-Husb.work.class=GovernmWorker	02-Det. house	257	226	0.10106173810460087	0.08887141171844279	0.8793774319066148	
10-Husb.work.class=GovernmWorker	02-Det. house	357	259	0.1403853716083366	0.10184821077467558	0.7254901960784313	
03-Vechicl.=2,11-Wife.work.class=GovernmWorker	01-H. owned	270	202	0.10617381046008652	0.0794337396775462	0.7481481481481481	
11-Wife.work.class=GovernmWorker	01-H. owned	395	296	0.1553283523397562	0.1163979551710578	0.7493670886075949	
02-Det. house,11-Wife.work.class=GovernmWorker	01-H. owned	301	262	0.1183641368462446	0.10302791977978765	0.8704318936877077	
01-H. owned,11-Wife.work.class=GovernmWorker	02-Det. house	296	262	0.1163979551710578	0.10302791977978765	0.8851351351351351	
11-Wife.work.class=GovernmWorker	02-Det. house	395	301	0.1553283523397562	0.1183641368462446	0.7620253164556962	
03-Vechicl.=3,11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	277	207	0.10892646480534801	0.081399921352733	0.7472924187725631	
03-Vechicl.=3,10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	274	207	0.10774675580023595	0.081399921352733	0.7554744525547445	
03-Vechicl.=3,10-Husb.work.class=PrivateWorker	01-H. owned	274	221	0.10774675580023595	0.086905230043256	0.8065693430656934	
02-Det. house,03-Vechicl.=3,10-Husb.work.class=PrivateWorker	01-H. owned	233	206	0.09162406606370428	0.08100668501769563	0.8841201716738197	
01-H. owned,03-Vechicl.=3,10-Husb.work.class=PrivateWorker	02-Det. house	221	206	0.086905230043256	0.08100668501769563	0.9321266968325792	
03-Vechicl.=3,10-Husb.work.class=PrivateWorker	02-Det. house	274	233	0.10774675580023595	0.09162406606370428	0.8503649635036497	
03-Vechicl.=3,11-Wife.work.class=PrivateWorker	01-H. owned	277	223	0.10892646480534801	0.08769170271333071	0.8050541516245487	
02-Det. house,03-Vechicl.=3,11-Wife.work.class=PrivateWorker	01-H. owned	230	204	0.09044435705859222	0.08022021234762092	0.8869565217391304	
01-H. owned,03-Vechicl.=3,11-Wife.work.class=PrivateWorker	02-Det. house	223	204	0.08769170271333071	0.08022021234762092	0.9147982062780269	
03-Vechicl.=3,11-Wife.work.class=PrivateWorker	02-Det. house	277	230	0.10892646480534801	0.09044435705859222	0.8303249097472925	
03-Vechicl.=3	01-H. owned	398	329	0.15650806134486828	0.1293747542272906	0.8266331658291457	
02-Det. house,03-Vechicl.=3	01-H. owned	339	303	0.13330711757766417	0.11915060951631931	0.8938053097345132	
01-H. owned,03-Vechicl.=3	02-Det. house	329	303	0.1293747542272906	0.11915060951631931	0.9209726443768997	
03-Vechicl.=3	02-Det. house	398	339	0.15650806134486828	0.13330711757766417	0.8517587939698492	
02-Det. house,08-Husb.:other Asia	09-Wife:other Asia	245	201	0.09634290208415258	0.07904050334250885	0.8204081632653061	
02-Det. house,08-Husb.:other Asia	01-H. owned	245	227	0.09634290208415258	0.08926464805348014	0.926530612244898	
01-H. owned,08-Husb.:other Asia	02-Det. house	277	227	0.10892646480534801	0.08926464805348014	0.8194945848375451	
03-Vechicl.=2,08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	266	205	0.10460086511993708	0.08061344868265828	0.7706766917293233	
03-Vechicl.=2,08-Husb.:other Asia	09-Wife:other Asia	266	219	0.10460086511993708	0.08611875737318128	0.8233082706766918	
01-H. owned,08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	277	207	0.10892646480534801	0.081399921352733	0.7472924187725631	
08-Husb.:other Asia,11-Wife.work.class=PrivateWorker	01-H. owned	295	211	0.11600471883602045	0.08297286669288242	0.7152542372881356	
01-H. owned,08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	277	211	0.10892646480534801	0.08297286669288242	0.7617328519855595	
01-H. owned,09-Wife:other Asia	08-Husb.:other Asia	320	226	0.12583562721195438	0.08887141171844279	0.70625	
01-H. owned,08-Husb.:other Asia	09-Wife:other Asia	277	226	0.10892646480534801	0.08887141171844279	0.8158844765342961	
08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	406	295	0.15965395202516713	0.11600471883602045	0.7266009852216748	
08-Husb.:other Asia,11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	295	236	0.11600471883602045	0.09280377506881636	0.8	
08-Husb.:other Asia,10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	313	236	0.12308297286669288	0.09280377506881636	0.7539936102236422	
09-Wife:other Asia,11-Wife.work.class=PrivateWorker	08-Husb.:other Asia	338	248	0.13291388124262682	0.09752261108926465	0.7337278106508875	
08-Husb.:other Asia,11-Wife.work.class=PrivateWorker	09-Wife:other Asia	295	248	0.11600471883602045	0.09752261108926465	0.8406779661016949	
08-Husb.:other Asia,09-Wife:other Asia	11-Wife.work.class=PrivateWorker	339	248	0.13330711757766417	0.09752261108926465	0.7315634218289085	
08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	406	313	0.15965395202516713	0.12308297286669288	0.770935960591133	
09-Wife:other Asia,10-Husb.work.class=PrivateWorker	08-Husb.:other Asia	353	261	0.13881242626818718	0.1026346834447503	0.7393767705382436	
08-Husb.:other Asia,10-Husb.work.class=PrivateWorker	09-Wife:other Asia	313	261	0.12308297286669288	0.1026346834447503	0.8338658146964856	
08-Husb.:other Asia,09-Wife:other Asia	10-Husb.work.class=PrivateWorker	339	261	0.13330711757766417	0.1026346834447503	0.7699115044247787	
09-Wife:other Asia	08-Husb.:other Asia	468	339	0.1840346047974833	0.13330711757766417	0.7243589743589743	
08-Husb.:other Asia	09-Wife:other Asia	406	339	0.15965395202516713	0.13330711757766417	0.8349753694581281	
08-Husb.:West Europe,12-Husb.Income=06	01-H. owned	252	201	0.09909555642941408	0.07904050334250885	0.7976190476190477	
08-Husb.:West Europe,12-Husb.Income=06	02-Det. house	252	207	0.09909555642941408	0.081399921352733	0.8214285714285714	
12-Husb.Income=06,NO	02-Det. house	267	202	0.10499410145497444	0.0794337396775462	0.7565543071161048	
12-Husb.Income=06,NO	01-H. owned	267	211	0.10499410145497444	0.08297286669288242	0.7902621722846442	
11-Wife.work.class=PrivateWorker,12-Husb.Income=06	10-Husb.work.class=PrivateWorker	297	226	0.11679119150609517	0.08887141171844279	0.7609427609427609	
10-Husb.work.class=PrivateWorker,12-Husb.Income=06	11-Wife.work.class=PrivateWorker	308	226	0.12111679119150609	0.08887141171844279	0.7337662337662337	
11-Wife.work.class=PrivateWorker,12-Husb.Income=06	02-Det. house	297	238	0.11679119150609517	0.09359024773889107	0.8013468013468014	
02-Det. house,11-Wife.work.class=PrivateWorker,12-Husb.Income=06	01-H. owned	238	214	0.09359024773889107	0.08415257569799449	0.8991596638655462	
01-H. owned,11-Wife.work.class=PrivateWorker,12-Husb.Income=06	02-Det. house	239	214	0.09398348407392842	0.08415257569799449	0.895397489539749	
11-Wife.work.class=PrivateWorker,12-Husb.Income=06	01-H. owned	297	239	0.11679119150609517	0.09398348407392842	0.8047138047138047	
10-Husb.work.class=PrivateWorker,12-Husb.Income=06	03-Vechicl.=2	308	216	0.12111679119150609	0.0849390483680692	0.7012987012987013	
03-Vechicl.=2,12-Husb.Income=06	10-Husb.work.class=PrivateWorker	304	216	0.11954384585135666	0.0849390483680692	0.7105263157894737	
03-Vechicl.=2,12-Husb.Income=06	02-Det. house	304	241	0.11954384585135666	0.09476995674400314	0.7927631578947368	
02-Det. house,03-Vechicl.=2,12-Husb.Income=06	01-H. owned	241	221	0.09476995674400314	0.086905230043256	0.91701244813278	
01-H. owned,03-Vechicl.=2,12-Husb.Income=06	02-Det. house	250	221	0.09830908375933936	0.086905230043256	0.884	
03-Vechicl.=2,12-Husb.Income=06	01-H. owned	304	250	0.11954384585135666	0.09830908375933936	0.8223684210526315	
10-Husb.work.class=PrivateWorker,12-Husb.Income=06	02-Det. house	308	239	0.12111679119150609	0.09398348407392842	0.775974025974026	
02-Det. house,10-Husb.work.class=PrivateWorker,12-Husb.Income=06	01-H. owned	239	217	0.09398348407392842	0.08533228470310657	0.9079497907949791	
01-H. owned,10-Husb.work.class=PrivateWorker,12-Husb.Income=06	02-Det. house	245	217	0.09634290208415258	0.08533228470310657	0.8857142857142857	
10-Husb.work.class=PrivateWorker,12-Husb.Income=06	01-H. owned	308	245	0.12111679119150609	0.09634290208415258	0.7954545454545454	
12-Husb.Income=06	02-Det. house	445	355	0.17499016909162407	0.13959889893826188	0.797752808988764	
02-Det. house,12-Husb.Income=06	01-H. owned	355	323	0.13959889893826188	0.12701533621706645	0.9098591549295775	
01-H. owned,12-Husb.Income=06	02-Det. house	360	323	0.1415650806134487	0.12701533621706645	0.8972222222222223	
12-Husb.Income=06	01-H. owned	445	360	0.17499016909162407	0.1415650806134487	0.8089887640449438	
02-Det. house,09-Wife:other Asia	11-Wife.work.class=PrivateWorker	290	216	0.11403853716083366	0.0849390483680692	0.7448275862068966	
02-Det. house,09-Wife:other Asia	10-Husb.work.class=PrivateWorker	290	218	0.11403853716083366	0.08572552103814393	0.7517241379310344	
02-Det. house,09-Wife:other Asia	01-H. owned	290	266	0.11403853716083366	0.10460086511993708	0.9172413793103448	
01-H. owned,09-Wife:other Asia	02-Det. house	320	266	0.12583562721195438	0.10460086511993708	0.83125	
03-Vechicl.=2,09-Wife:other Asia	01-H. owned	313	220	0.12308297286669288	0.08651199370821865	0.7028753993610224	
03-Vechicl.=2,09-Wife:other Asia	11-Wife.work.class=PrivateWorker	313	228	0.12308297286669288	0.0896578843885175	0.7284345047923323	
03-Vechicl.=2,09-Wife:other Asia	10-Husb.work.class=PrivateWorker	313	236	0.12308297286669288	0.09280377506881636	0.7539936102236422	
01-H. owned,09-Wife:other Asia	11-Wife.work.class=PrivateWorker	320	236	0.12583562721195438	0.09280377506881636	0.7375	
01-H. owned,09-Wife:other Asia	10-Husb.work.class=PrivateWorker	320	237	0.12583562721195438	0.09319701140385371	0.740625	
09-Wife:other Asia	11-Wife.work.class=PrivateWorker	468	338	0.1840346047974833	0.13291388124262682	0.7222222222222222	
09-Wife:other Asia,11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	338	263	0.13291388124262682	0.10342115611482501	0.7781065088757396	
09-Wife:other Asia,10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	353	263	0.13881242626818718	0.10342115611482501	0.7450424929178471	
09-Wife:other Asia	10-Husb.work.class=PrivateWorker	468	353	0.1840346047974833	0.13881242626818718	0.7542735042735043	
07-Wife:no college,09-Wife:West Europe	02-Det. house	263	217	0.10342115611482501	0.08533228470310657	0.8250950570342205	
07-Wife:no college,08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	269	203	0.10578057412504915	0.07982697601258357	0.7546468401486989	
07-Wife:no college,08-Husb.:West Europe	02-Det. house	269	213	0.10578057412504915	0.08375933936295714	0.79182156133829	
03-Vechicl.=2,07-Wife:no college	02-Det. house	333	243	0.13094769956744004	0.09555642941407787	0.7297297297297297	
03-Vechicl.=2,07-Wife:no college	11-Wife.work.class=PrivateWorker	333	255	0.13094769956744004	0.10027526543452615	0.7657657657657657	
07-Wife:no college,NO	11-Wife.work.class=PrivateWorker	334	244	0.1313409359024774	0.09594966574911522	0.7305389221556886	
02-Det. house,07-Wife:no college,10-Husb.work.class=PrivateWorker	01-H. owned	261	205	0.1026346834447503	0.08061344868265828	0.7854406130268199	
01-H. owned,07-Wife:no college,10-Husb.work.class=PrivateWorker	02-Det. house	222	205	0.08729846637829336	0.08061344868265828	0.9234234234234234	
01-H. owned,07-Wife:no college	11-Wife.work.class=PrivateWorker	337	244	0.13252064490758947	0.09594966574911522	0.7240356083086054	
02-Det. house,07-Wife:no college,11-Wife.work.class=PrivateWorker	01-H. owned	277	218	0.10892646480534801	0.08572552103814393	0.7870036101083032	
