LHS	RHS	LHS_supp_count	RULE_supp_count	LHS_supp	RULE_supp	RULE_conf	links
09-Wife:Latino,12-Husb.Income=03	YES	25	19	0.01188212927756654	0.00903041825095057	0.76	2
09-Wife:Latino,12-Husb.Income=05	NO	14	10	0.006653992395437262	0.004752851711026616	0.7142857142857143	1

11-Wife.work.class=NoWork,12-Husb.Income=06	NO	18	15	0.008555133079847909	0.007129277566539924	0.8333333333333334	2
11-Wife.work.class=NoWork,12-Husb.Income=03	YES	71	50	0.03374524714828897	0.02376425855513308	0.704225352112676	1

01-H. owned,02-No stat. home,09-Wife:Mexico	YES	17	12	0.008079847908745247	0.005703422053231939	0.7058823529411765	2
01-H. owned,02-Apart.,09-Wife:Mexico	NO	15	11	0.007129277566539924	0.005228136882129277	0.7333333333333333	1

01-H. not owned,03-Vechicl.=1,08-Husb.:Latino	YES	26	20	0.012357414448669201	0.009505703422053232	0.7692307692307693	2
01-H. owned,03-Vechicl.=2,08-Husb.:Latino	NO	13	11	0.006178707224334601	0.005228136882129277	0.8461538461538461	1

01-H. not owned,11-Wife.work.class=NoWork,12-Husb.Income=06	NO	14	12	0.006653992395437262	0.005703422053231939	0.8571428571428571	2
01-H. not owned,11-Wife.work.class=NoWork,12-Husb.Income=03	YES	59	43	0.028041825095057035	0.02043726235741445	0.7288135593220338	1

02-Det. house,03-Vechicl.=3,08-Husb.:West Europe	NO	56	45	0.026615969581749048	0.02138783269961977	0.8035714285714286	4
02-Apart.,03-Vechicl.=3,08-Husb.:West Europe	NO	15	11	0.007129277566539924	0.005228136882129277	0.7333333333333333	4
02-Apart.,03-Vechicl.=2,08-Husb.:West Europe	NO	242	191	0.1150190114068441	0.09077946768060836	0.7892561983471075	4
02-Det. house,03-Vechicl.=1,08-Husb.:West Europe	YES	30	23	0.014258555133079848	0.010931558935361217	0.7666666666666667	1,2,3

02-Att. house,03-Vechicl.=2,09-Wife:Other American	NO	12	11	0.005703422053231939	0.005228136882129277	0.9166666666666666	2
02-Det. house,03-Vechicl.=1,09-Wife:Other American	YES	14	11	0.006653992395437262	0.005228136882129277	0.7857142857142857	1

02-Apart.,03-Vechicl.=2,12-Husb.Income=02	NO	48	34	0.022813688212927757	0.016159695817490494	0.7083333333333334	3
02-Apart.,03-Vechicl.=1,12-Husb.Income=06	NO	28	25	0.013307984790874524	0.01188212927756654	0.8928571428571429	3
02-Det. house,03-Vechicl.=1,12-Husb.Income=02	YES	20	14	0.009505703422053232	0.006653992395437262	0.7	1,2

02-Apart.,11-Wife.work.class=NoWork,12-Husb.Income=06	NO	15	13	0.007129277566539924	0.006178707224334601	0.8666666666666667	2
02-Det. house,11-Wife.work.class=NoWork,12-Husb.Income=04	YES	18	13	0.008555133079847909	0.006178707224334601	0.7222222222222222	1

03-Vechicl.=1,08-Husb.:Latino,12-Husb.Income=03	YES	14	10	0.006653992395437262	0.004752851711026616	0.7142857142857143	2
03-Vechicl.=2,08-Husb.:Latino,12-Husb.Income=04	NO	25	18	0.01188212927756654	0.008555133079847909	0.72	1

03-Vechicl.=1,11-Wife.work.class=NoWork,12-Husb.Income=06	NO	13	11	0.006178707224334601	0.005228136882129277	0.8461538461538461	2,3
03-Vechicl.=2,11-Wife.work.class=NoWork,12-Husb.Income=03	YES	17	13	0.008079847908745247	0.006178707224334601	0.7647058823529411	1
03-Vechicl.=1,11-Wife.work.class=NoWork,12-Husb.Income=04	YES	42	31	0.019961977186311788	0.014733840304182509	0.7380952380952381	1

09-Wife:Latino,10-Husb.work.class=PrivateWorker,12-Husb.Income=03	YES	23	18	0.010931558935361217	0.008555133079847909	0.782608695652174	2
09-Wife:Latino,10-Husb.work.class=PrivateWorker,12-Husb.Income=05	NO	12	10	0.005703422053231939	0.004752851711026616	0.8333333333333334	1

10-Husb.work.class=PrivateWorker,11-Wife.work.class=NoWork,12-Husb.Income=03	YES	61	46	0.02899239543726236	0.021863117870722433	0.7540983606557377	2
10-Husb.work.class=PrivateWorker,11-Wife.work.class=NoWork,12-Husb.Income=06	NO	16	13	0.0076045627376425855	0.006178707224334601	0.8125	1,3
10-Husb.work.class=PrivateWorker,11-Wife.work.class=NoWork,12-Husb.Income=04	YES	53	38	0.025190114068441065	0.01806083650190114	0.7169811320754716	2

01-H. not owned,02-Det. house,03-Vechicl.=1,06-Husb.:no college	YES	20	15	0.009505703422053232	0.007129277566539924	0.75	3
01-H. not owned,02-Det. house,03-Vechicl.=3,06-Husb.:no college	YES	14	10	0.006653992395437262	0.004752851711026616	0.7142857142857143	3
01-H. owned,02-Att. house,03-Vechicl.=2,06-Husb.:no college	NO	17	12	0.008079847908745247	0.005703422053231939	0.7058823529411765	1,2

01-H. owned,02-Att. house,03-Vechicl.=2,08-Husb.:West Europe	NO	25	18	0.01188212927756654	0.008555133079847909	0.72	2
01-H. not owned,02-Det. house,03-Vechicl.=1,08-Husb.:West Europe	YES	21	19	0.009980988593155894	0.00903041825095057	0.9047619047619048	1,3,4,5,6
01-H. not owned,02-Apart.,03-Vechicl.=3,08-Husb.:West Europe	NO	13	10	0.006178707224334601	0.004752851711026616	0.7692307692307693	2
01-H. owned,02-Apart.,03-Vechicl.=2,08-Husb.:West Europe	NO	18	14	0.008555133079847909	0.006653992395437262	0.7777777777777778	2
01-H. not owned,02-Apart.,03-Vechicl.=2,08-Husb.:West Europe	NO	224	177	0.10646387832699619	0.0841254752851711	0.7901785714285714	2
01-H. owned,02-Det. house,03-Vechicl.=3,08-Husb.:West Europe	NO	39	34	0.0185361216730038	0.016159695817490494	0.8717948717948718	2

01-H. not owned,02-Det. house,03-Vechicl.=1,09-Wife:West Europe	YES	19	14	0.00903041825095057	0.006653992395437262	0.7368421052631579	2,3,4,5,6
01-H. owned,02-Det. house,03-Vechicl.=3,09-Wife:West Europe	NO	32	24	0.015209125475285171	0.011406844106463879	0.75	1
01-H. not owned,02-Apart.,03-Vechicl.=2,09-Wife:West Europe	NO	209	159	0.09933460076045628	0.07557034220532319	0.7607655502392344	1
01-H. owned,02-Apart.,03-Vechicl.=2,09-Wife:West Europe	NO	14	10	0.006653992395437262	0.004752851711026616	0.7142857142857143	1
01-H. owned,02-Att. house,03-Vechicl.=2,09-Wife:West Europe	NO	25	21	0.01188212927756654	0.009980988593155894	0.84	1
01-H. not owned,02-Apart.,03-Vechicl.=3,09-Wife:West Europe	NO	13	10	0.006178707224334601	0.004752851711026616	0.7692307692307693	1

01-H. owned,02-Att. house,03-Vechicl.=2,12-Husb.Income=04	NO	20	14	0.009505703422053232	0.006653992395437262	0.7	3,5
01-H. owned,02-Det. house,03-Vechicl.=2,12-Husb.Income=03	NO	20	14	0.009505703422053232	0.006653992395437262	0.7	3,5
01-H. not owned,02-Det. house,03-Vechicl.=1,12-Husb.Income=04	YES	24	17	0.011406844106463879	0.008079847908745247	0.7083333333333334	1,2,4,6,7,8,9,10
01-H. owned,02-Det. house,03-Vechicl.=2,12-Husb.Income=06	NO	21	15	0.009980988593155894	0.007129277566539924	0.7142857142857143	3,5
01-H. not owned,02-Det. house,03-Vechicl.=1,12-Husb.Income=02	YES	14	10	0.006653992395437262	0.004752851711026616	0.7142857142857143	1,2,4,6,7,8,9,10
01-H. not owned,02-Apart.,03-Vechicl.=1,12-Husb.Income=06	NO	25	22	0.01188212927756654	0.010456273764258554	0.88	3,5
01-H. not owned,02-Det. house,03-Vechicl.=2,12-Husb.Income=05	NO	37	26	0.01758555133079848	0.012357414448669201	0.7027027027027027	3,5
01-H. not owned,02-Apart.,03-Vechicl.=2,12-Husb.Income=06	NO	24	19	0.011406844106463879	0.00903041825095057	0.7916666666666666	3,5
01-H. not owned,02-Apart.,03-Vechicl.=2,12-Husb.Income=05	NO	94	72	0.04467680608365019	0.034220532319391636	0.7659574468085106	3,5
01-H. not owned,02-Apart.,03-Vechicl.=2,12-Husb.Income=02	NO	48	34	0.022813688212927757	0.016159695817490494	0.7083333333333334	3,5

01-H. not owned,02-Det. house,06-Husb.:school,12-Husb.Income=04	YES	47	35	0.022338403041825095	0.016634980988593156	0.7446808510638298	2
01-H. not owned,02-Det. house,06-Husb.:school,12-Husb.Income=05	NO	18	13	0.008555133079847909	0.006178707224334601	0.7222222222222222	1

