LSH	RHS	supp	conf	
01-H. not owned	10-Husb.work.class=PrivateWorker	58,22243	78,47534	
01-H. not owned	11-Wife.work.class=PrivateWorker	53,46958	72,06919	
02-Apart.	01-H. not owned	49,38213	94,71285	
02-Apart.	10-Husb.work.class=PrivateWorker	41,73004	80,03646	
02-Apart.	11-Wife.work.class=PrivateWorker	37,11977	71,19417	
03-Vechicl.=2	10-Husb.work.class=PrivateWorker	41,92015	77,30061	
03-Vechicl.=2	11-Wife.work.class=PrivateWorker	41,53992	76,59947	
06-Husb.:school	01-H. not owned	16,15970	76,23318	
06-Husb.:school	10-Husb.work.class=PrivateWorker	16,96768	80,04484	
06-Husb.:school	11-Wife.work.class=PrivateWorker	16,06464	75,78475	
07-Wife:school	01-H. not owned	13,49810	72,63427	
07-Wife:school	10-Husb.work.class=PrivateWorker	15,44677	83,12020	
07-Wife:school	11-Wife.work.class=PrivateWorker	14,25856	76,72634	
08-Husb.:West Europe	09-Wife:West Europe	25,95057	70,27027	
08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	28,04183	75,93308	
08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	29,18251	79,02188	
09-Wife:West Europe	01-H. not owned	25,09506	71,44790	
09-Wife:West Europe	08-Husb.:West Europe	25,95057	73,88363	
09-Wife:West Europe	10-Husb.work.class=PrivateWorker	26,52091	75,50744	
09-Wife:West Europe	11-Wife.work.class=PrivateWorker	27,80418	79,16103	
10-Husb.work.class=PrivateWorker	01-H. not owned	58,22243	74,33252	
10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	59,36312	75,78883	
12-Husb.Income=05	10-Husb.work.class=PrivateWorker	13,87833	82,25352	
12-Husb.Income=05	11-Wife.work.class=PrivateWorker	13,11787	77,74648	
YES	01-H. not owned	32,12928	75,78475	
YES	10-Husb.work.class=PrivateWorker	33,50760	79,03587	
YES	11-Wife.work.class=PrivateWorker	30,32319	71,52466	
02-Det. house	10-Husb.work.class=PrivateWorker	26,47338	76,72176	
02-Det. house	11-Wife.work.class=PrivateWorker	25,85551	74,93113	
06-Husb.:no college	10-Husb.work.class=PrivateWorker	21,38783	74,25743	
06-Husb.:no college	11-Wife.work.class=PrivateWorker	21,81559	75,74257	
07-Wife:no college	01-H. not owned	23,52662	73,00885	
07-Wife:no college	10-Husb.work.class=PrivateWorker	24,23954	75,22124	
07-Wife:no college	11-Wife.work.class=PrivateWorker	26,28327	81,56342	
11-Wife.work.class=PrivateWorker	01-H. not owned	53,46958	73,38552	
11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	59,36312	81,47423	
12-Husb.Income=04	01-H. not owned	29,99049	71,46093	
12-Husb.Income=04	10-Husb.work.class=PrivateWorker	32,22433	76,78369	
12-Husb.Income=04	11-Wife.work.class=PrivateWorker	31,13118	74,17894	
06-Husb.:associate	01-H. not owned	15,73194	74,04922	
06-Husb.:associate	10-Husb.work.class=PrivateWorker	16,49240	77,62864	
06-Husb.:associate	11-Wife.work.class=PrivateWorker	15,58935	73,37808	
06-Husb.:associate	NO	16,49240	77,62864	
10-Husb.work.class=GovernmWorker	01-H. not owned	11,26426	75,00000	
09-Wife:Mexico	01-H. not owned	24,85741	76,91176	
09-Wife:Mexico	10-Husb.work.class=PrivateWorker	27,04373	83,67647	
09-Wife:Mexico	08-Husb.:Mexico	26,42586	81,76471	
08-Husb.:Mexico	01-H. not owned	24,57224	76,70623	
08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	26,66350	83,23442	
08-Husb.:Mexico	09-Wife:Mexico	26,42586	82,49258	
11-Wife.work.class=NoWork	01-H. not owned	9,69582	86,44068	
03-Vechicl.=1	01-H. not owned	25,09506	88,73950	
03-Vechicl.=1	10-Husb.work.class=PrivateWorker	22,19582	78,48739	
12-Husb.Income=03	01-H. not owned	19,43916	87,58030	
12-Husb.Income=03	10-Husb.work.class=PrivateWorker	17,39544	78,37259	
12-Husb.Income=03	11-Wife.work.class=PrivateWorker	15,63688	70,44968	
06-Husb.:no school	01-H. not owned	14,49620	84,02204	
06-Husb.:no school	10-Husb.work.class=PrivateWorker	15,35171	88,98072	
06-Husb.:no school	09-Wife:Mexico	13,30798	77,13499	
06-Husb.:no school	08-Husb.:Mexico	13,68821	79,33884	
07-Wife:no school	01-H. not owned	11,50190	87,36462	
07-Wife:no school	10-Husb.work.class=PrivateWorker	11,21673	85,19856	
07-Wife:no school	09-Wife:Mexico	10,12357	76,89531	
07-Wife:no school	08-Husb.:Mexico	9,88593	75,09025	
01-H. owned	10-Husb.work.class=PrivateWorker	20,10456	77,90055	
01-H. owned	02-Det. house	18,44106	71,45488	
01-H. owned	11-Wife.work.class=PrivateWorker	19,39163	75,13812	
07-Wife:associate	01-H. not owned	17,58555	72,97830	
07-Wife:associate	10-Husb.work.class=PrivateWorker	19,01141	78,89546	
07-Wife:associate	NO	20,00951	83,03748	
NO	01-H. not owned	42,06274	73,01980	
NO	10-Husb.work.class=PrivateWorker	44,81939	77,80528	
NO	11-Wife.work.class=PrivateWorker	42,53802	73,84488	
01-H. not owned, 02-Apart.	10-Husb.work.class=PrivateWorker	39,44867	79,88450	
01-H. not owned, 02-Apart.	11-Wife.work.class=PrivateWorker	35,17110	71,22233	
01-H. not owned, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	29,42015	77,56892	
01-H. not owned, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	29,65779	78,19549	
01-H. not owned, 06-Husb.:school	10-Husb.work.class=PrivateWorker	12,69011	78,52941	
01-H. not owned, 06-Husb.:school	11-Wife.work.class=PrivateWorker	12,26236	75,88235	
01-H. not owned, 07-Wife:school	10-Husb.work.class=PrivateWorker	10,88403	80,63380	
01-H. not owned, 07-Wife:school	11-Wife.work.class=PrivateWorker	10,12357	75,00000	
01-H. not owned, 08-Husb.:West Europe	09-Wife:West Europe	18,15589	70,47970	
01-H. not owned, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	19,67681	76,38376	
01-H. not owned, 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	20,53232	79,70480	
01-H. not owned, 09-Wife:West Europe	08-Husb.:West Europe	18,15589	72,34848	
01-H. not owned, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	18,96388	75,56818	
01-H. not owned, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	19,91445	79,35606	
01-H. not owned, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	43,34601	74,44898	
01-H. not owned, YES	10-Husb.work.class=PrivateWorker	25,57034	79,58580	
01-H. not owned, 02-Det. house	10-Husb.work.class=PrivateWorker	12,54753	78,10651	
01-H. not owned, 02-Det. house	11-Wife.work.class=PrivateWorker	12,26236	76,33136	
01-H. not owned, 06-Husb.:no college	10-Husb.work.class=PrivateWorker	14,35361	73,47932	
01-H. not owned, 06-Husb.:no college	11-Wife.work.class=PrivateWorker	14,78137	75,66910	
01-H. not owned, 07-Wife:no college	10-Husb.work.class=PrivateWorker	17,82319	75,75758	
01-H. not owned, 07-Wife:no college	11-Wife.work.class=PrivateWorker	19,20152	81,61616	
01-H. not owned, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	43,34601	81,06667	
01-H. not owned, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	23,09886	77,02060	
01-H. not owned, 12-Husb.Income=04	11-Wife.work.class=PrivateWorker	22,24335	74,16799	
01-H. not owned, 06-Husb.:associate	02-Apart.	11,69202	74,32024	
01-H. not owned, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	12,45247	79,15408	
01-H. not owned, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	11,64449	74,01813	
01-H. not owned, 06-Husb.:associate	NO	12,40494	78,85196	
01-H. not owned, 09-Wife:Mexico	10-Husb.work.class=PrivateWorker	21,10266	84,89484	
01-H. not owned, 09-Wife:Mexico	08-Husb.:Mexico	20,43726	82,21797	
01-H. not owned, 08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	20,72243	84,33269	
01-H. not owned, 08-Husb.:Mexico	09-Wife:Mexico	20,43726	83,17215	
01-H. not owned, 03-Vechicl.=1	02-Apart.	18,25095	72,72727	
01-H. not owned, 03-Vechicl.=1	10-Husb.work.class=PrivateWorker	19,53422	77,84091	
01-H. not owned, 12-Husb.Income=03	10-Husb.work.class=PrivateWorker	15,30418	78,72861	
01-H. not owned, 12-Husb.Income=03	11-Wife.work.class=PrivateWorker	14,06844	72,37164	
01-H. not owned, 06-Husb.:no school	10-Husb.work.class=PrivateWorker	12,83270	88,52459	
01-H. not owned, 06-Husb.:no school	09-Wife:Mexico	11,50190	79,34426	
01-H. not owned, 06-Husb.:no school	08-Husb.:Mexico	11,83460	81,63934	
01-H. not owned, 07-Wife:no school	10-Husb.work.class=PrivateWorker	9,69582	84,29752	
01-H. not owned, 07-Wife:associate	02-Apart.	13,49810	76,75676	
01-H. not owned, 07-Wife:associate	10-Husb.work.class=PrivateWorker	13,97338	79,45946	
01-H. not owned, 07-Wife:associate	NO	15,01901	85,40541	
01-H. not owned, NO	02-Apart.	30,18061	71,75141	
01-H. not owned, NO	10-Husb.work.class=PrivateWorker	32,65209	77,62712	
01-H. not owned, NO	11-Wife.work.class=PrivateWorker	31,41635	74,68927	
02-Apart., 03-Vechicl.=2	01-H. not owned	24,47719	92,29391	
02-Apart., 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	21,15019	79,74910	
02-Apart., 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	20,67490	77,95699	
02-Apart., 06-Husb.:school	01-H. not owned	9,98099	97,22222	
02-Apart., 08-Husb.:West Europe	01-H. not owned	15,77947	93,52113	
02-Apart., 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	13,35551	79,15493	
02-Apart., 08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	13,26046	78,59155	
02-Apart., 08-Husb.:West Europe	NO	12,69011	75,21127	
02-Apart., 09-Wife:West Europe	01-H. not owned	15,06654	94,91018	
02-Apart., 09-Wife:West Europe	08-Husb.:West Europe	11,35932	71,55689	
02-Apart., 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	12,54753	79,04192	
02-Apart., 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	12,64259	79,64072	
