LHS	RHS	supp	conf
01-H. owned	02-Det. house	59,14274	86,04119
01-H. owned	10-Husb.work.class=PrivateWorker	49,86237	72,54005
01-H. owned	11-Wife.work.class=PrivateWorker	48,32875	70,30892
02-Det. house	01-H. owned	59,14274	85,11602
02-Det. house	10-Husb.work.class=PrivateWorker	50,53087	72,72213
03-Vechicl.=1	10-Husb.work.class=PrivateWorker	9,79158	77,08978
03-Vechicl.=1	NO	9,08376	71,51703
06-Husb.:no college	02-Det. house	14,54974	70,88123
06-Husb.:no college	10-Husb.work.class=PrivateWorker	14,39245	70,11494
07-Wife:school	10-Husb.work.class=PrivateWorker	8,33661	78,81041
07-Wife:school	11-Wife.work.class=PrivateWorker	7,94337	75,09294
08-Husb.:West Europe	01-H. owned	36,37436	73,58791
08-Husb.:West Europe	02-Det. house	37,23948	75,33811
08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	35,27330	71,36038
08-Husb.:West Europe	11-Wife.work.class=PrivateWorker	34,64412	70,08751
09-Wife:other Asia	10-Husb.work.class=PrivateWorker	13,88124	75,42735
09-Wife:other Asia	11-Wife.work.class=PrivateWorker	13,29139	72,22222
09-Wife:other Asia	08-Husb.:other Asia	13,33071	72,43590
10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	54,85647	74,71880
11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	54,85647	78,15126
12-Husb.Income=04	10-Husb.work.class=PrivateWorker	16,04404	72,85714
12-Husb.Income=04	11-Wife.work.class=PrivateWorker	15,49351	70,35714
YES	01-H. owned	30,55446	76,25123
YES	02-Det. house	30,94770	77,23258
YES	10-Husb.work.class=PrivateWorker	29,88596	74,58292
YES	11-Wife.work.class=PrivateWorker	28,15572	70,26497
YES	03-Vechicl.=2	28,39166	70,85378
06-Husb.:school	10-Husb.work.class=PrivateWorker	9,20173	78,26087
06-Husb.:school	11-Wife.work.class=PrivateWorker	8,76917	74,58194
09-Wife:West Europe	01-H. owned	34,44750	74,04903
09-Wife:West Europe	02-Det. house	35,23398	75,73964
09-Wife:West Europe	08-Husb.:West Europe	34,09359	73,28825
09-Wife:West Europe	10-Husb.work.class=PrivateWorker	34,32953	73,79544
09-Wife:West Europe	11-Wife.work.class=PrivateWorker	32,99253	70,92139
03-Vechicl.=2	01-H. owned	47,97483	72,01889
03-Vechicl.=2	02-Det. house	47,66024	71,54664
03-Vechicl.=2	10-Husb.work.class=PrivateWorker	49,35116	74,08501
03-Vechicl.=2	11-Wife.work.class=PrivateWorker	47,22768	70,89728
07-Wife:no college	02-Det. house	14,90366	73,44961
07-Wife:no college	11-Wife.work.class=PrivateWorker	14,94298	73,64341
10-Husb.work.class=GovernmWorker	01-H. owned	10,10617	71,98880
10-Husb.work.class=GovernmWorker	02-Det. house	10,18482	72,54902
11-Wife.work.class=GovernmWorker	01-H. owned	11,63980	74,93671
11-Wife.work.class=GovernmWorker	02-Det. house	11,83641	76,20253
06-Husb.:bachelor	01-H. owned	9,31970	72,69939
06-Husb.:bachelor	10-Husb.work.class=PrivateWorker	9,87023	76,99387
06-Husb.:bachelor	11-Wife.work.class=PrivateWorker	9,00511	70,24540
06-Husb.:bachelor	03-Vechicl.=2	9,28038	72,39264
07-Wife:bachelor	01-H. owned	8,88714	71,51899
07-Wife:bachelor	10-Husb.work.class=PrivateWorker	8,88714	71,51899
07-Wife:bachelor	03-Vechicl.=2	8,88714	71,51899
10-Husb.work.class=SelfEmployed	01-H. owned	8,49390	71,05263
10-Husb.work.class=SelfEmployed	02-Det. house	8,53323	71,38158
06-Husb.:associate	01-H. owned	24,73457	77,46305
06-Husb.:associate	02-Det. house	23,86945	74,75369
06-Husb.:associate	10-Husb.work.class=PrivateWorker	23,39756	73,27586
06-Husb.:associate	03-Vechicl.=2	22,92568	71,79803
12-Husb.Income=05	01-H. owned	16,00472	71,15385
12-Husb.Income=05	02-Det. house	15,84742	70,45455
12-Husb.Income=05	10-Husb.work.class=PrivateWorker	16,12269	71,67832
12-Husb.Income=05	11-Wife.work.class=PrivateWorker	16,16201	71,85315
07-Wife:associate	01-H. owned	27,32993	76,71082
07-Wife:associate	02-Det. house	26,18954	73,50993
07-Wife:associate	10-Husb.work.class=PrivateWorker	26,58278	74,61369
07-Wife:associate	11-Wife.work.class=PrivateWorker	24,97051	70,08830
07-Wife:associate	03-Vechicl.=2	25,20645	70,75055
01-H. not owned	10-Husb.work.class=PrivateWorker	23,55486	75,34591
03-Vechicl.=3	01-H. owned	12,93748	82,66332
03-Vechicl.=3	02-Det. house	13,33071	85,17588
08-Husb.:Mexico	10-Husb.work.class=PrivateWorker	8,21864	79,16667
12-Husb.Income=08	01-H. owned	10,30279	81,61994
12-Husb.Income=08	02-Det. house	9,71294	76,94704
12-Husb.Income=08	10-Husb.work.class=PrivateWorker	10,14550	80,37383
12-Husb.Income=08	11-Wife.work.class=PrivateWorker	9,12308	72,27414
12-Husb.Income=08	03-Vechicl.=2	9,43767	74,76636
08-Husb.:other Asia	09-Wife:other Asia	13,33071	83,49754
08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	12,30830	77,09360
08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	11,60047	72,66010
02-Apart.	10-Husb.work.class=PrivateWorker	16,24066	76,19926
02-Apart.	11-Wife.work.class=PrivateWorker	15,06095	70,66421
02-Apart.	01-H. not owned	17,97090	84,31734
02-Apart.	NO	14,98230	70,29520
12-Husb.Income=06	01-H. owned	14,15651	80,89888
12-Husb.Income=06	02-Det. house	13,95989	79,77528
NO	10-Husb.work.class=PrivateWorker	43,53126	72,63780
NO	11-Wife.work.class=PrivateWorker	42,03696	70,14436
01-H. owned, 02-Det. house	10-Husb.work.class=PrivateWorker	42,82344	72,40691
01-H. owned, 06-Husb.:no college	02-Det. house	11,91506	85,83569
01-H. owned, 08-Husb.:West Europe	02-Det. house	31,77350	87,35135
01-H. owned, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	26,22886	72,10811
01-H. owned, 08-Husb.:West Europe	03-Vechicl.=2	25,56036	70,27027
01-H. owned, 09-Wife:other Asia	02-Det. house	10,46009	83,12500
01-H. owned, 09-Wife:other Asia	10-Husb.work.class=PrivateWorker	9,31970	74,06250
01-H. owned, 09-Wife:other Asia	11-Wife.work.class=PrivateWorker	9,28038	73,75000
01-H. owned, 09-Wife:other Asia	08-Husb.:other Asia	8,88714	70,62500
01-H. owned, 10-Husb.work.class=PrivateWorker	02-Det. house	42,82344	85,88328
01-H. owned, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	37,63272	75,47319
01-H. owned, 10-Husb.work.class=PrivateWorker	03-Vechicl.=2	35,70586	71,60883
01-H. owned, 11-Wife.work.class=PrivateWorker	02-Det. house	41,25049	85,35395
01-H. owned, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	37,63272	77,86819
01-H. owned, 11-Wife.work.class=PrivateWorker	03-Vechicl.=2	33,89697	70,13832
01-H. owned, 12-Husb.Income=04	02-Det. house	10,30279	85,06494
01-H. owned, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	8,69052	71,75325
01-H. owned, YES	02-Det. house	27,40857	89,70399
01-H. owned, YES	10-Husb.work.class=PrivateWorker	22,88635	74,90347
01-H. owned, YES	11-Wife.work.class=PrivateWorker	21,98191	71,94337
01-H. owned, YES	03-Vechicl.=2	22,53244	73,74517
01-H. owned, 09-Wife:West Europe	02-Det. house	30,00393	87,10046
01-H. owned, 09-Wife:West Europe	08-Husb.:West Europe	25,24577	73,28767
01-H. owned, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	25,32442	73,51598
01-H. owned, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	24,41998	70,89041
01-H. owned, 03-Vechicl.=2	02-Det. house	41,01455	85,49180
01-H. owned, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	35,70586	74,42623
01-H. owned, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	33,89697	70,65574
01-H. owned, 07-Wife:no college	02-Det. house	11,87574	89,61424
01-H. owned, 07-Wife:no college	11-Wife.work.class=PrivateWorker	9,59497	72,40356
01-H. owned, 10-Husb.work.class=GovernmWorker	02-Det. house	8,88714	87,93774
01-H. owned, 11-Wife.work.class=GovernmWorker	02-Det. house	10,30279	88,51351
01-H. owned, 06-Husb.:associate	02-Det. house	21,74597	87,91733
01-H. owned, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	18,16752	73,44992
01-H. owned, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	17,38105	70,27027
01-H. owned, 06-Husb.:associate	03-Vechicl.=2	18,04955	72,97297
01-H. owned, 12-Husb.Income=05	02-Det. house	13,64530	85,25799
01-H. owned, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	11,63980	72,72727
01-H. owned, 07-Wife:associate	02-Det. house	23,63350	86,47482
01-H. owned, 07-Wife:associate	10-Husb.work.class=PrivateWorker	20,36964	74,53237
01-H. owned, 07-Wife:associate	11-Wife.work.class=PrivateWorker	19,42587	71,07914
01-H. owned, 07-Wife:associate	03-Vechicl.=2	20,01573	73,23741
01-H. owned, 03-Vechicl.=3	02-Det. house	11,91506	92,09726
01-H. owned, 12-Husb.Income=08	02-Det. house	8,84782	85,87786
01-H. owned, 12-Husb.Income=08	10-Husb.work.class=PrivateWorker	8,21864	79,77099
01-H. owned, 08-Husb.:other Asia	02-Det. house	8,92646	81,94946
01-H. owned, 08-Husb.:other Asia	09-Wife:other Asia	8,88714	81,58845
01-H. owned, 08-Husb.:other Asia	10-Husb.work.class=PrivateWorker	8,13999	74,72924
01-H. owned, 08-Husb.:other Asia	11-Wife.work.class=PrivateWorker	8,29729	76,17329
01-H. owned, 12-Husb.Income=06	02-Det. house	12,70153	89,72222
01-H. owned, NO	02-Det. house	31,73417	83,11020
01-H. owned, NO	10-Husb.work.class=PrivateWorker	26,97601	70,64882
02-Det. house, 06-Husb.:no college	01-H. owned	11,91506	81,89189
02-Det. house, 06-Husb.:no college	10-Husb.work.class=PrivateWorker	10,18482	70,00000
02-Det. house, 08-Husb.:West Europe	01-H. owned	31,77350	85,32207
02-Det. house, 08-Husb.:West Europe	10-Husb.work.class=PrivateWorker	26,70075	71,70011
02-Det. house, 09-Wife:other Asia	01-H. owned	10,46009	91,72414
02-Det. house, 09-Wife:other Asia	10-Husb.work.class=PrivateWorker	8,57255	75,17241
02-Det. house, 09-Wife:other Asia	11-Wife.work.class=PrivateWorker	8,49390	74,48276
02-Det. house, 10-Husb.work.class=PrivateWorker	01-H. owned	42,82344	84,74708
02-Det. house, 10-Husb.work.class=PrivateWorker	11-Wife.work.class=PrivateWorker	38,02595	75,25292
02-Det. house, 10-Husb.work.class=PrivateWorker	03-Vechicl.=2	35,43059	70,11673
02-Det. house, 11-Wife.work.class=PrivateWorker	01-H. owned	41,25049	84,87055
02-Det. house, 11-Wife.work.class=PrivateWorker	10-Husb.work.class=PrivateWorker	38,02595	78,23625
02-Det. house, 12-Husb.Income=04	01-H. owned	10,30279	76,38484
02-Det. house, 12-Husb.Income=04	10-Husb.work.class=PrivateWorker	9,59497	71,13703
02-Det. house, YES	01-H. owned	27,40857	88,56417
02-Det. house, YES	10-Husb.work.class=PrivateWorker	23,27959	75,22236
02-Det. house, YES	11-Wife.work.class=PrivateWorker	21,94259	70,90216
02-Det. house, YES	03-Vechicl.=2	22,33582	72,17281
02-Det. house, 09-Wife:West Europe	01-H. owned	30,00393	85,15625
02-Det. house, 09-Wife:West Europe	08-Husb.:West Europe	25,91427	73,54911
02-Det. house, 09-Wife:West Europe	10-Husb.work.class=PrivateWorker	25,95360	73,66071
02-Det. house, 09-Wife:West Europe	11-Wife.work.class=PrivateWorker	24,69524	70,08929
02-Det. house, 03-Vechicl.=2	01-H. owned	41,01455	86,05611
02-Det. house, 03-Vechicl.=2	10-Husb.work.class=PrivateWorker	35,43059	74,33993
02-Det. house, 03-Vechicl.=2	11-Wife.work.class=PrivateWorker	33,50374	70,29703
02-Det. house, 07-Wife:no college	01-H. owned	11,87574	79,68338
02-Det. house, 07-Wife:no college	11-Wife.work.class=PrivateWorker	10,89265	73,08707
02-Det. house, 10-Husb.work.class=GovernmWorker	01-H. owned	8,88714	87,25869
02-Det. house, 11-Wife.work.class=GovernmWorker	01-H. owned	10,30279	87,04319
02-Det. house, 06-Husb.:associate	01-H. owned	21,74597	91,10379
02-Det. house, 06-Husb.:associate	10-Husb.work.class=PrivateWorker	17,42037	72,98188
02-Det. house, 06-Husb.:associate	11-Wife.work.class=PrivateWorker	16,83052	70,51071
02-Det. house, 06-Husb.:associate	03-Vechicl.=2	17,57766	73,64086
02-Det. house, 12-Husb.Income=05	01-H. owned	13,64530	86,10422
02-Det. house, 12-Husb.Income=05	10-Husb.work.class=PrivateWorker	11,12859	70,22333
02-Det. house, 12-Husb.Income=05	11-Wife.work.class=PrivateWorker	11,16791	70,47146
02-Det. house, 07-Wife:associate	01-H. owned	23,63350	90,24024
02-Det. house, 07-Wife:associate	10-Husb.work.class=PrivateWorker	19,22926	73,42342
02-Det. house, 07-Wife:associate	03-Vechicl.=2	18,79670	71,77177
02-Det. house, 03-Vechicl.=3	01-H. owned	11,91506	89,38053
02-Det. house, 12-Husb.Income=08	01-H. owned	8,84782	91,09312
